RES_ID,Fecha_Viaje,Fecha_Reserva,Lead_Time_Dias,Noches_Estancia,Barco,Compañia,Tipo_Ruta,Suite_Type,Booking_Source,Package,Guest_Country,Cabinas_Totales_Barco,Cabinas_Reservadas,Porcentaje_Ocupacion_Ciclo,Pasajeros_Reserva,Tripulacion,Ingreso_Total_Reserva_USD,Gasto_Promedio_Diario_Huesped_USD,Puntuacion_Satisfaccion
RES-00001,2018-01-05,2017-08-18,140.0,6,MSC World Europa,MSC Cruceros,Mediterráneo,Balcony,Direct,All Inclusive,USA,2626,1,87.12,2,2138,2762.28,147.39,4.4
RES-00002,2018-01-05,2017-09-14,113.0,6,MSC World Europa,MSC Cruceros,Mediterráneo,Interior,B2B,All Inclusive + EXC,SPAIN,2626,1,87.12,1,2138,1863.06,144.91,4.3
RES-00003,2018-01-05,2017-11-01,65.0,6,MSC World Europa,MSC Cruceros,Mediterráneo,Oceanview,Web,All Inclusive,GERMANY,2626,1,87.12,2,2138,2760.48,147.24,4.6
RES-00004,2018-01-05,2017-10-31,66.0,6,MSC World Europa,MSC Cruceros,Mediterráneo,Interior,Web,All Inclusive + EXC,USA,2626,2,87.12,2,2138,3883.68,158.04,4.3
RES-00005,2018-01-05,2017-09-17,110.0,6,MSC World Europa,MSC Cruceros,Mediterráneo,Oceanview,Direct,All Inclusive + EXC,USA,2626,1,87.12,2,2138,2723.28,144.14,4.3
RES-00006,2018-01-05,2017-11-21,45.0,6,MSC World Europa,MSC Cruceros,Mediterráneo,Interior,Web,All Inclusive,USA,2626,1,87.12,2,2138,2753.52,146.66,4.6
RES-00007,2018-01-05,2017-11-11,55.0,6,MSC World Europa,MSC Cruceros,Mediterráneo,Interior,Web,Full Board,UK,2626,2,87.12,2,2138,3671.4,140.35,4.6
RES-00008,2018-01-05,2017-09-13,114.0,6,MSC World Europa,MSC Cruceros,Mediterráneo,Interior,B2B,All Inclusive,UK,2626,1,87.12,2,2138,2848.08,154.54,4.4
RES-00009,2018-01-05,2017-12-31,5.0,6,MSC World Europa,MSC Cruceros,Mediterráneo,Balcony,Direct,Full Board,SPAIN,2626,1,87.12,2,2138,2685.96,141.03,4.6
RES-00010,2018-01-05,2017-11-09,57.0,6,MSC World Europa,MSC Cruceros,Mediterráneo,Oceanview,Web,All Inclusive,SPAIN,2626,1,87.12,2,2138,2741.52,145.66,4.4
RES-00011,2018-01-05,2017-10-31,66.0,6,MSC World Europa,MSC Cruceros,Mediterráneo,Suite,Web,Full Board,FRANCE,2626,2,87.12,4,2138,5880.24,162.21,4.5
RES-00012,2018-01-05,2017-08-29,129.0,6,MSC World Europa,MSC Cruceros,Mediterráneo,Balcony,B2B,All Inclusive,USA,2626,2,87.12,2,2138,3809.28,151.84,4.5
RES-00013,2018-01-05,2017-10-18,79.0,6,MSC World Europa,MSC Cruceros,Mediterráneo,Oceanview,B2B,All Inclusive,USA,2626,1,87.12,2,2138,2729.28,144.64,4.7
RES-00014,2018-01-05,2017-11-19,47.0,6,MSC World Europa,MSC Cruceros,Mediterráneo,Suite,Web,All Inclusive,SPAIN,2626,1,87.12,1,2138,1907.16,152.26,4.8
RES-00015,2018-01-05,2017-10-14,83.0,6,MSC World Europa,MSC Cruceros,Mediterráneo,Interior,B2B,Full Board + EXC,USA,2626,2,87.12,2,2138,3878.64,157.62,4.3
RES-00016,2018-01-05,2017-11-12,54.0,7,Icon of the Seas,Royal Caribbean,Caribe,Balcony,B2B,Full Board,GERMANY,2805,1,80.76,2,2350,3509.66,167.89,4.7
RES-00017,2018-01-05,2017-12-06,30.0,7,Icon of the Seas,Royal Caribbean,Caribe,Interior,Direct,Full Board,USA,2805,1,80.76,2,2350,16158.268000000002,181.38,4.7
RES-00018,2018-01-05,2017-10-25,72.0,7,Icon of the Seas,Royal Caribbean,Caribe,Oceanview,Web,All Inclusive,USA,2805,1,80.76,2,2350,3660.3,178.65,5.0
RES-00019,2018-01-05,2017-10-03,94.0,7,Icon of the Seas,Royal Caribbean,Caribe,Oceanview,B2B,All Inclusive,UNKNOWN,2805,1,80.76,2,2350,3792.88,188.12,4.7
RES-00020,2018-01-05,2017-10-05,92.0,7,Icon of the Seas,Royal Caribbean,Caribe,Balcony,Web,Full Board,GERMANY,2805,1,80.76,2,2350,3668.42,179.23,4.7
RES-00021,2018-01-05,2017-11-23,43.0,7,Icon of the Seas,Royal Caribbean,Caribe,Interior,B2B,All Inclusive + EXC,UK,2805,1,80.76,2,2350,3539.34,170.01,4.6
RES-00022,2018-01-05,2017-11-12,54.0,7,Icon of the Seas,Royal Caribbean,Caribe,Balcony,Direct,Full Board,UK,2805,1,80.76,2,2350,3522.12,168.78,4.7
RES-00023,2018-01-05,2017-10-12,85.0,7,Icon of the Seas,Royal Caribbean,Caribe,Suite,B2B,Full Board + EXC,GERMANY,2805,1,80.76,2,2350,3458.28,164.22,4.8
RES-00024,2018-01-05,2017-10-17,80.0,7,Icon of the Seas,Royal Caribbean,Caribe,Balcony,B2B,All Inclusive,GERMANY,2805,2,80.76,4,2350,7054.88,169.16,4.6
RES-00025,2018-01-05,2017-10-06,91.0,7,Icon of the Seas,Royal Caribbean,Caribe,Balcony,B2B,All Inclusive,GERMANY,2805,1,80.76,2,2350,3660.72,178.68,4.7
